epoch,batch,train_loss
1.0,160.0,0.12155856192111969
1.0,161.0,0.1559666395187378
1.0,162.0,0.1959899663925171
1.0,163.0,0.1424591839313507
1.0,164.0,0.1692913919687271
1.0,165.0,0.12226240336894989
1.0,166.0,0.16233208775520325
1.0,167.0,0.17059268057346344
1.0,168.0,0.13312354683876038
1.0,169.0,0.14668585360050201
1.0,170.0,0.19870492815971375
1.0,171.0,0.18095678091049194
1.0,172.0,0.19322147965431213
1.0,173.0,0.1468808650970459
1.0,174.0,0.15565620362758636
1.0,175.0,0.17710943520069122
1.0,176.0,0.16187787055969238
1.0,177.0,0.1733470857143402
1.0,178.0,0.19055794179439545
1.0,179.0,0.16699424386024475
1.0,180.0,0.18524813652038574
1.0,181.0,0.19182898104190826
1.0,182.0,0.12092489004135132
1.0,183.0,0.17649595439434052
1.0,184.0,0.14677926898002625
1.0,185.0,0.1717255413532257
1.0,186.0,0.15478801727294922
1.0,187.0,0.15232127904891968
1.0,188.0,0.1534256786108017
1.0,189.0,0.18296949565410614
1.0,190.0,0.15369240939617157
1.0,191.0,0.18546000123023987
1.0,192.0,0.14423950016498566
1.0,193.0,0.12039324641227722
1.0,194.0,0.14671313762664795
1.0,195.0,0.15626400709152222
1.0,196.0,0.17851522564888
1.0,197.0,0.12950767576694489
1.0,198.0,0.12016553431749344
1.0,199.0,0.13589048385620117
1.0,200.0,0.1282837688922882
1.0,201.0,0.23450209200382233
1.0,202.0,0.17004919052124023
1.0,203.0,0.15565899014472961
1.0,204.0,0.15408343076705933
1.0,205.0,0.13768520951271057
1.0,206.0,0.14569823443889618
1.0,207.0,0.17729322612285614
1.0,208.0,0.129174143075943
1.0,209.0,0.19117748737335205
1.0,210.0,0.14647071063518524
1.0,211.0,0.14249663054943085
1.0,212.0,0.1082429364323616
1.0,213.0,0.14779117703437805
1.0,214.0,0.15473748743534088
1.0,215.0,0.16554203629493713
1.0,216.0,0.18173669278621674
1.0,217.0,0.1421659290790558
1.0,218.0,0.1795566976070404
1.0,219.0,0.17194411158561707
1.0,220.0,0.1442769467830658
1.0,221.0,0.15481433272361755
1.0,222.0,0.14854149520397186
1.0,223.0,0.14687851071357727
1.0,224.0,0.13214686512947083
1.0,225.0,0.12891067564487457
1.0,226.0,0.16538286209106445
1.0,227.0,0.12793707847595215
1.0,228.0,0.17540279030799866
1.0,229.0,0.16291281580924988
1.0,230.0,0.20713846385478973
1.0,231.0,0.16692763566970825
1.0,232.0,0.13433785736560822
1.0,233.0,0.1467275321483612
1.0,234.0,0.11361970007419586
1.0,235.0,0.15242250263690948
1.0,236.0,0.14247071743011475
1.0,237.0,0.14370088279247284
1.0,238.0,0.16777610778808594
1.0,239.0,0.11379659920930862
1.0,240.0,0.1513087898492813
